ano,idade_num,obitos,exposicao,Mx
2008,82,21923,332456,0.06594256082007845
2008,83,21113,315113,0.06700136141638079
2008,84,19894,301620,0.06595716464425436
2008,85,18951,195005,0.09718212353529397
2008,86,16897,155353,0.1087651992558882
2008,87,15795,137601,0.11478840996795081
2008,88,15161,125840,0.12047838525111253
2008,89,13508,117315,0.11514299109235818
2008,90,12404,46909,0.26442686904431983
2008,91,10626,24294,0.4373919486292912
2008,92,9746,16613,0.5866490098115933
2008,93,8578,12674,0.6768186839198359
2008,94,6813,10332,0.6594076655052264
2008,95,5586,14932,0.3740959014197696
2008,96,4386,4254,1.0310296191819464
2008,97,3521,2103,1.6742748454588683
2008,98,2625,1341,1.9574944071588367
2008,99,1750,980,1.7857142857142858
2008,ou mais,100,4753,7783,0.6106899653090068
2010,16,3192,893254,0.00357345167220074
2010,17,3895,1486067,0.002621012376965507
2010,18,4529,2739875,0.0016529951183904374
2010,19,4930,2980129,0.00165429080419002
2010,20,5389,3112097,0.0017316298303041325
2010,21,5714,3426759,0.0016674647969116007
2010,22,5576,3380474,0.0016494728254085077
2010,23,5611,3348805,0.0016755230597183175
2010,24,5544,3322519,0.001668613482721995
2010,25,5548,3496586,0.0015866905604495357
2010,26,5519,3441955,0.001603449202560754
2010,27,5741,3405585,0.0016857603025618212
2010,28,6089,3375522,0.0018038691497196582
2010,29,5872,3349252,0.0017532272877645516
2010,30,5992,3231544,0.001854222006570234
2010,31,5990,3166111,0.0018919109279491465
2010,32,5978,3123806,0.0019136911831272492
2010,33,5919,3089096,0.0019160945467541312
2010,34,6037,3058925,0.0019735691460235215
2010,35,6238,2863463,0.0021784810909028685
2010,36,6065,2787831,0.0021755264217952954
2010,37,6396,2740467,0.0023339087827001746
2010,38,6526,2702569,0.0024147394571609458
2010,39,6864,2670327,0.0025704717062741754
2010,40,7228,2719121,0.002658211973648837
2010,41,7718,2626038,0.0029390283004282498
2010,42,8076,2571691,0.003140346176892947
2010,43,8446,2529696,0.0033387410977445513
2010,44,9081,2493972,0.003641179612281132
2010,45,9541,2547810,0.0037447847366954366
2010,46,10359,2446273,0.00423460505021312
2010,47,10735,2386810,0.004497634918573326
2010,48,10963,2341895,0.004681251721362401
2010,49,11251,2303934,0.004883386416451166
2010,50,12080,2199319,0.005492609303152476
2010,51,12332,2096180,0.005883082559703842
2010,52,13474,2036800,0.006615278868813825
2010,53,13393,1992473,0.0067217974848341735
2010,54,14181,1955638,0.0072513420172854075
2010,55,14391,1816858,0.007920817146964704
2010,56,15013,1715581,0.008750971245309897
2010,57,15148,1658958,0.0091310328531524
2010,58,15783,1617746,0.009756166913718223
2010,59,15881,1584357,0.010023624725992943
2010,60,16657,1437394,0.011588332774451543
2010,61,16564,1343234,0.012331432944669358
2010,62,17351,1291872,0.013430897178667855
2010,63,17468,1255379,0.013914523024520882
2010,64,17358,1226339,0.014154324375233928
2010,65,18125,1073655,0.016881586729442885
2010,66,18803,989078,0.019010634146144186
2010,67,19265,945400,0.02037761793949651
2010,68,19030,914352,0.020812553589864734
2010,69,19860,889861,0.022318092376225052
2010,70,21991,841149,0.026144000646734406
2010,71,21845,765293,0.028544622778465242
2010,72,21916,727197,0.030137638081565242
2010,73,22511,700462,0.032137360770462926
2010,74,24087,679069,0.035470622278442984
2010,75,23439,588112,0.039854653535381014
2010,76,22559,523720,0.04307454364927824
2010,77,23481,492378,0.047688970668876354
2010,78,23988,470239,0.05101235754584371
2010,79,25076,452780,0.055382304872123325
2010,80,25306,442374,0.05720498944332172
2010,81,24234,387026,0.06261594828254433
2010,82,23781,360314,0.06600076599854571
2010,83,23210,342246,0.06781671663072761
2010,84,22675,327839,0.06916504747757284
2010,85,21469,272696,0.0787286942236043
2010,86,19742,229184,0.08614039374476404
2010,87,18385,208771,0.08806299725536593
2010,88,16460,195061,0.0843838594080826
2010,89,14976,184468,0.08118481254201271
2010,90,13865,61077,0.2270085302159569
2010,91,12269,34858,0.35197085317574156
2010,92,10803,25344,0.42625473484848486
2010,93,9179,20112,0.45639419252187746
2010,94,8198,16862,0.48618194757442773
2010,95,6791,20959,0.3240135502648027
2010,96,5179,7412,0.6987317862924987
2010,97,4145,4135,1.0024183796856105
2010,98,3081,2743,1.1232227488151658
2010,99,2520,2084,1.2092130518234165
2010,ou mais,100,5948,10726,0.5545403691963453
2012,16,3509,1154738,0.0030387845554576015
2012,17,4602,1747883,0.0026328993416607402
2012,18,5179,2704859,0.001914702392989801
2012,19,5461,2955340,0.0018478415343073894
2012,20,5614,3099029,0.0018115351614973593
2012,21,5507,3275305,0.0016813701319419107
2012,22,5533,3227519,0.001714319884716403
2012,23,5711,3194900,0.0017875363861153714
2012,24,5714,3167978,0.001803674141676489
2012,25,5685,3380112,0.0016818969312259475
2012,26,5592,3324993,0.0016818080519267259
2012,27,5545,3288163,0.001686351923551235
2012,28,5664,3257529,0.0017387412360718815
2012,29,5971,3230511,0.0018483143997961933
2012,30,6432,3357069,0.001915957044672004
2012,31,5952,3290328,0.0018089381970429696
2012,32,6295,3246538,0.0019389885471847242
2012,33,6205,3210638,0.0019326376875873268
2012,34,6374,3179175,0.0020049226607531828
2012,35,6574,2928784,0.002244617561417981
2012,36,6413,2851537,0.0022489625770242506
2012,37,6586,2803068,0.0023495684014800925
2012,38,6808,2763933,0.0024631566684141766
2012,39,6901,2730139,0.0025277101275795848
2012,40,7496,2712838,0.0027631579917414897
2012,41,7483,2622719,0.002853145914602365
2012,42,8125,2568289,0.003163584783488151
2012,43,8508,2526600,0.0033673711707432915
2012,44,8959,2490558,0.003597185851524036
2012,45,9509,2610581,0.003642484182639803
2012,46,9941,2507902,0.003963870996554091
2012,47,10647,2446876,0.004351262589522314
2012,48,11267,2400442,0.004693718906768004
2012,49,11607,2361450,0.004915200406529886
2012,50,12104,2281202,0.005305974657220185
2012,51,12459,2176087,0.00572541447102069
2012,52,13007,2113578,0.006154019392707532
2012,53,13726,2066708,0.006641480073624334
2012,54,14800,2028201,0.00729710714076169
2012,55,14928,1930082,0.007734386414670465
2012,56,15606,1825625,0.008548305374871619
2012,57,15806,1764834,0.008956083121698698
2012,58,16474,1720549,0.009574850817965662
2012,59,16472,1684364,0.009779358855924253
2012,60,17340,1549527,0.011190511685178768
2012,61,17439,1450085,0.012026191568080493
2012,62,18100,1395108,0.012973905962835852
2012,63,18245,1355644,0.013458548114401716
2012,64,19122,1324038,0.014442183683549869
2012,65,19311,1157956,0.01667679946388291
2012,66,19299,1068315,0.018064896589489055
2012,67,19829,1021120,0.0194188733939204
2012,68,20611,987352,0.020875027345870573
2012,69,20847,961053,0.02169183177202506
2012,70,20660,873931,0.02364031027621174
2012,71,21455,794838,0.02699292182809579
2012,72,23842,754789,0.03158763574985857
2012,73,23557,726474,0.03242648738977582
2012,74,23592,703865,0.03351779105368217
2012,75,24054,621330,0.038713727004973206
2012,76,25554,553233,0.0461903031814805
2012,77,24869,519958,0.04782886310048119
2012,78,24227,496861,0.04876011600830011
2012,79,24362,478459,0.05091763348583682
2012,80,25044,446808,0.0560509212010528
2012,81,25700,389038,0.06606038484672448
2012,82,26328,361410,0.07284801195318337
2012,83,24666,342398,0.07203897219025812
2012,84,24127,327704,0.07362436833239754
2012,85,23263,299161,0.07776080438292425
2012,86,21639,252563,0.085677632907433
2012,87,20662,231089,0.08941143888285466
2012,88,18364,216675,0.08475366332064152
2012,89,16825,205394,0.08191573268936775
2012,90,14581,117402,0.12419720277337694
2012,91,12845,84736,0.15158846299093656
